id,author_id,author_name,invite_code,title,game_name,category,description,image_url,template,status,featured_score
preseed-bottle-010,preseed-user-010,雾港守夜人,PRESEED010,把这段旅程安利给你,未命名的好游戏,震撼的场景,这张图最打动我的地方是它没有急着告诉你答案，而是把世界摊开，让你自己决定下一步往哪里走。,/samples/bottle-01.webp,cinematic,approved,73
preseed-bottle-011,preseed-user-011,孤岛调律师,PRESEED011,把这一刻留给后来人,群山回声,故事情节,它的支线不是任务清单，而像一段被人认真生活过的痕迹。你会为了一个陌生人的坚持继续往前。,/samples/bottle-02.webp,narrative,approved,86
preseed-bottle-012,preseed-user-012,星环巡航员,PRESEED012,让我重新相信探索,星环航线,震撼的场景,每次跃迁后都像打开一封没人读过的信。宏大是真的，孤独也是真的，但它总会给你一点继续飞的理由。,/samples/bottle-03.webp,space,approved,91
preseed-bottle-013,preseed-user-013,深蓝记录员,PRESEED013,安静得让人舍不得走,蓝渊旧梦,人物,它最好的地方不是吓你，而是让你在深水里慢慢听见自己的呼吸。资源压力和远处蓝光都很真实。,/samples/bottle-04.webp,survival,approved,75
preseed-bottle-014,preseed-user-014,铁桥观测者,PRESEED014,一次失败也很漂亮,铁刃回廊,战绩,这游戏不讨好玩家，但每次重新站起来都很有分量。完美闪避后的反击像终于和角色对上了节拍。,/samples/bottle-05.webp,combat,approved,82
preseed-bottle-015,preseed-user-015,旧城拾光者,PRESEED015,废墟也有温度,灰烬城邦,故事情节,很多场景没有对白，却能让你知道这里曾经有人认真活过。它把废土写得很冷，也把希望留得很克制。,/samples/bottle-06.webp,story,approved,88
preseed-bottle-016,preseed-user-016,湾岸练习生,PRESEED016,雨夜冲线的一秒,夜雨湾岸,外观,雨水在车身和赛道上反光的瞬间特别漂亮。不是单纯炫技，是那种城市和速度一起压过来的快乐。,/samples/bottle-07.webp,racing,approved,70
preseed-bottle-017,preseed-user-017,山海取景师,PRESEED017,巨兽抬头的压迫感,山海猎人,炸裂的截图,第一次看到巨兽从雾里出现时我真的停住了。它不是靠数值吓人，是画面和声音一起把你按在原地。,/samples/bottle-08.webp,snapshot,approved,94
preseed-bottle-018,preseed-user-018,边境信号员,PRESEED018,风吹过营地的时候,风起群山,震撼的场景,它没有一直推着你做主线，而是允许你迷路。越过山脊看见湖面的时候，奖励感比任何弹窗都强。,/samples/bottle-09.webp,open-world,approved,89
preseed-bottle-019,preseed-user-019,静默译码员,PRESEED019,恐惧藏在日志背后,静默轨道,故事情节,真正吓人的不是突然出现的怪物，而是你读懂那些日志之后，意识到走廊里的声音也许曾经在求救。,/samples/bottle-01.webp,horror,approved,84
preseed-bottle-020,preseed-user-020,像素考古员,PRESEED020,小画面里的大冒险,像素群岛,人物,它用很小的画面装下了很大的情绪。角色的动作很简单，但每次回头看营地都会觉得自己真的走了很远。,/samples/bottle-02.webp,indie,approved,68
preseed-bottle-021,preseed-user-021,雪线行者,PRESEED021,雪线尽头还有火光,白岭远征,震撼的场景,暴风雪挡住视线的时候，远处那一点营火比任何指引都好用。它把生存压力做得冷静又有诗意。,/samples/bottle-03.webp,cinematic,approved,80
preseed-bottle-022,preseed-user-022,机械制图师,PRESEED022,齿轮咬合的一瞬间,铜城工坊,战绩,机关设计很讲道理，失败时你知道问题在自己哪里。等一整套齿轮终于跑通，那种爽感很扎实。,/samples/bottle-04.webp,puzzle,approved,77
preseed-bottle-023,preseed-user-023,林间采样员,PRESEED023,森林没有空镜头,苔原回声,外观,它的环境不是漂亮背景，而是在不断提醒你这里有风有湿度有危险。每一片光都像真的从树缝里落下来。,/samples/bottle-05.webp,open-world,approved,87
preseed-bottle-024,preseed-user-024,旧梦速写师,PRESEED024,角色沉默但很有力量,无声旅社,人物,主角说话不多，但你能从停顿和动作里读到很多东西。它相信玩家能理解沉默，这点特别难得。,/samples/bottle-06.webp,narrative,approved,83
preseed-bottle-025,preseed-user-025,港口领航员,PRESEED025,海面像一张旧地图,潮汐航班,震撼的场景,它的海不是装饰，而是会改变计划的存在。每次出航都有一点不确定，也因此每次归来都值得记住。,/samples/bottle-07.webp,adventure,approved,76
preseed-bottle-026,preseed-user-026,月台检票员,PRESEED026,列车开走后的空白,末班月台,故事情节,这个章节最厉害的是收得住。它没有把悲伤讲满，只留下一个空月台，让你自己补完那句没说出口的话。,/samples/bottle-08.webp,story,approved,90
preseed-bottle-027,preseed-user-027,竞技场旁观者,PRESEED027,赢下这一局靠的是冷静,赤环竞技,战绩,手感清楚，反馈干脆，输赢都能复盘。它不是靠数值堆刺激，而是让每个决定都像自己做出来的。,/samples/bottle-09.webp,combat,approved,85
preseed-bottle-028,preseed-user-028,云层摄影师,PRESEED028,天空不是背景板,云上海岸,炸裂的截图,云层打开的时候整个画面突然亮起来，那一秒很像真的站在高处。截图漂亮，但更漂亮的是走到那里的过程。,/samples/bottle-01.webp,snapshot,approved,92
preseed-bottle-029,preseed-user-029,边陲修理员,PRESEED029,一座城慢慢恢复呼吸,北港修理铺,外观,修复系统做得很有成就感。不是数值上涨那么简单，而是街灯亮起和人声回来时你会觉得自己真的改变了这里。,/samples/bottle-02.webp,simulation,approved,79
preseed-bottle-030,preseed-user-030,远峰测绘员,PRESEED030,山脊线后的礼物,雾岭旅图,震撼的场景,爬到最高处之前我一直觉得只是赶路。等云层散开后才明白它把整个世界的尺度都藏在最后几步里。,/samples/bottle-03.webp,open-world,approved,88
preseed-bottle-031,preseed-user-031,暗巷听诊师,PRESEED031,每扇门都有故事,雨巷余温,故事情节,这游戏最会写普通人的秘密。你以为自己只是在找线索，后来发现每个房间都在替某个人守住一点尊严。,/samples/bottle-04.webp,narrative,approved,84
preseed-bottle-032,preseed-user-032,星尘折返者,PRESEED032,返航时看到故乡,归航纪元,震撼的场景,它把太空做得很远，也把回家的路做得很近。看到蓝色星球出现在舷窗边时我真的停了很久。,/samples/bottle-05.webp,space,approved,93
preseed-bottle-033,preseed-user-033,矿灯保管员,PRESEED033,地下深处也有光,黑石矿脉,炸裂的截图,矿道不是简单的黑，而是有潮气和回声。灯光照到水面的一刻特别漂亮，像危险里突然漏出一点温柔。,/samples/bottle-06.webp,snapshot,approved,81
